"x"
"य"
"र"
"ल"
"व"
"श"
"ष"
"स"
"ह"
"ा"
"ि"
"ी"
"ो"
"।"
"॥"
"ং"
"অ"
"আ"
"ই"
"উ"
"এ"
"ও"
"ক"
"খ"
"গ"
"চ"
"ছ"
"জ"
"ট"
"ড"
"ণ"
"ত"
"থ"
"দ"
"ধ"
"ন"
"প"
"ব"
"ভ"
"ম"
"য"
"র"
"ল"
"শ"
"ষ"
"স"
"হ"
"া"
"ি"
"ী"
"ে"
"க"
"ச"
"ட"
"த"
"ந"
"ன"
"ப"
"ம"
"ய"
"ர"
"ல"
"ள"
"வ"
"ா"
"ி"
"ு"
"ே"
"ை"
"ನ"
"ರ"
"ಾ"
"ක"
"ය"
"ර"
"ල"
"ව"
"ා"
"ก"
"ง"
"ต"
"ท"
"น"
"พ"
"ม"
"ย"
"ร"
"ล"
"ว"
"ส"
"อ"
"า"
"เ"
"་"
"།"
"ག"
"ང"
"ད"
"ན"
"པ"
"བ"
"མ"
"འ"
"ར"
"ལ"
"ས"
"မ"
"ა"
"ბ"
"გ"
"დ"
"ე"
"ვ"
"თ"
"ი"
"კ"
"ლ"
"მ"
"ნ"
"ო"
"რ"
"ს"
"ტ"
"უ"
"ᄀ"
"ᄂ"
"ᄃ"
"ᄅ"
"ᄆ"
"ᄇ"
"ᄉ"
"ᄊ"
"ᄋ"
"ᄌ"
"ᄎ"
"ᄏ"
"ᄐ"
"ᄑ"
"ᄒ"
"ᅡ"
"ᅢ"
"ᅥ"
"ᅦ"
"ᅧ"
"ᅩ"
"ᅪ"
"ᅭ"
"ᅮ"
"ᅯ"
"ᅲ"
"ᅳ"
"ᅴ"
"ᅵ"
"ᆨ"
"ᆫ"
"ᆯ"
"ᆷ"
"ᆸ"
"ᆼ"
"ᴬ"
"ᴮ"
"ᴰ"
"ᴵ"
"ᴺ"
"ᵀ"
"ᵃ"
"ᵇ"
"ᵈ"
"ᵉ"
"ᵍ"
"ᵏ"
"ᵐ"
"ᵒ"
"ᵖ"
"ᵗ"
"ᵘ"
"ᵣ"
"ᵤ"
"ᵥ"
"ᶜ"
"ᶠ"
"‐"
"‑"
"‒"
"–"
"—"
"―"
"‖"
"‘"
"’"
"‚"
"“"
"”"
"„"
"†"
"‡"
"•"
"…"
"‰"
"′"
"″"
"›"
"‿"
"⁄"
"⁰"
"ⁱ"
"⁴"
"⁵"
"⁶"
"⁷"
"⁸"
"⁹"
"⁻"
"ⁿ"
"₅"
"₆"
"₇"
"₈"
"₉"
"₊"
"₍"
"₎"
"ₐ"
"ₑ"
"ₒ"
"ₓ"
"ₕ"
"ₖ"
"ₗ"
"ₘ"
"ₚ"
"ₛ"
"ₜ"
"₤"
"₩"
"€"
"₱"
"₹"
"ℓ"
"№"
"ℝ"
"™"
"⅓"
"⅔"
"←"
"↑"
"→"
"↓"
"↔"
"↦"
"⇄"
"⇌"
"⇒"
"∂"
"∅"
"∆"
"∇"
"∈"
"∗"
"∘"
"√"
"∞"
"∧"
"∨"
"∩"
"∪"
"≈"
"≡"
"≤"
"≥"
"⊂"
"⊆"
"⊕"
"⊗"
"⋅"
"─"
"│"
"■"
"▪"
"●"
"★"
"☆"
"☉"
"♠"
"♣"
"♥"
"♦"
"♯"
"⟨"
"⟩"
"ⱼ"
"⺩"
"⺼"
"⽥"
"、"
"。"
"〈"
"〉"
"《"
"》"
"「"
"」"
"『"
"』"
"〜"
"あ"
"い"
"う"
"え"
"お"
"か"
"き"
"く"
"け"
"こ"
"さ"
"し"
"す"
"せ"
"そ"
"た"
"ち"
"っ"
"つ"
"て"
"と"
"な"
"に"
"ぬ"
"ね"
"の"
"は"
"ひ"
"ふ"
"へ"
"ほ"
"ま"
"み"
"む"
"め"
"も"
"や"
"ゆ"
"よ"
"ら"
"り"
"る"
"れ"
"ろ"
"を"
"ん"
"ァ"
"ア"
"ィ"
"イ"
"ウ"
"ェ"
"エ"
"オ"
"カ"
"キ"
"ク"
"ケ"
"コ"
"サ"
"シ"
"ス"
"セ"
"タ"
"チ"
"ッ"
"ツ"
"テ"
"ト"
"ナ"
"ニ"
"ノ"
"ハ"
"ヒ"
"フ"
"ヘ"
"ホ"
"マ"
"ミ"
"ム"
"メ"
"モ"
"ャ"
"ュ"
"ョ"
"ラ"
"リ"
"ル"
"レ"
"ロ"
"ワ"
"ン"
"・"
"ー"
"一"
"三"
"上"
"下"
"不"
"世"
"中"
"主"
"久"
"之"
"也"
"事"
"二"
"五"
"井"
"京"
"人"
"亻"
"仁"
"介"
"代"
"仮"
"伊"
"会"
"佐"
"侍"
"保"
"信"
"健"
"元"
"光"
"八"
"公"
"内"
"出"
"分"
"前"
"劉"
"力"
"加"
"勝"
"北"
"区"
"十"
"千"
"南"
"博"
"原"
"口"
"古"
"史"
"司"
"合"
"吉"
"同"
"名"
"和"
"囗"
"四"
"国"
"國"
"土"
"地"
"坂"
"城"
"堂"
"場"
"士"
"夏"
"外"
"大"
"天"
"太"
"夫"
"奈"
"女"
"子"
"学"
"宀"
"宇"
"安"
"宗"
"定"
"宣"
"宮"
"家"
"宿"
"寺"
"將"
"小"
"尚"
"山"
"岡"
"島"
"崎"
"川"
"州"
"巿"
"帝"
"平"
"年"
"幸"
"广"
"弘"
"張"
"彳"
"後"
"御"
"德"
"心"
"忄"
"志"
"忠"
"愛"
"成"
"我"
"戦"
"戸"
"手"
"扌"
"政"
"文"
"新"
"方"
"日"
"明"
"星"
"春"
"昭"
"智"
"曲"
"書"
"月"
"有"
"朝"
"木"
"本"
"李"
"村"
"東"
"松"
"林"
"森"
"楊"
"樹"
"橋"
"歌"
"止"
"正"
"武"
"比"
"氏"
"民"
"水"
"氵"
"氷"
"永"
"江"
"沢"
"河"
"治"
"法"
"海"
"清"
"漢"
"瀬"
"火"
"版"
"犬"
"王"
"生"
"田"
"男"
"疒"
"発"
"白"
"的"
"皇"
"目"
"相"
"省"
"真"
"石"
"示"
"社"
"神"
"福"
"禾"
"秀"
"秋"
"空"
"立"
"章"
"竹"
"糹"
"美"
"義"
"耳"
"良"
"艹"
"花"
"英"
"華"
"葉"
"藤"
"行"
"街"
"西"
"見"
"訁"
"語"
"谷"
"貝"
"貴"
"車"
"軍"
"辶"
"道"
"郎"
"郡"
"部"
"都"
"里"
"野"
"金"
"鈴"
"镇"
"長"
"門"
"間"
"阝"
"阿"
"陳"
"陽"
"雄"
"青"
"面"
"風"
"食"
"香"
"馬"
"高"
"龍"
"龸"
"ﬁ"
"ﬂ"
"！"
"（"
"）"
"，"
"－"
"．"
"／"
"："
"？"
"～"
"ed"
"ing"
"ment"
"s"
"ion"
"al"
"ity"
"tion"
"ist"
"ly"
"ive"
"or"
"able"
"ance"
"ant"
"ation"
"cy"
"ic"
"ition"
"onym"
"ate"
"ism"
"ess"
"ty"
"ine"
"hood"
"er"
"ory"
"ics"
"ward"
"wards"
"borne"
"y"
"ium"
"ify"
"itude"
"tomy"
"ical"
"age"
"oid"
"ize"
"ship"
"logy"
"ery"
"work"
"en"
"naut"
"nomy"
"sphere"
"ee"
"arian"
"ative"
"ally"
"ous"
"ness"
"some"
"ful"
"ard"
"th"
"side"
"le"
"t"
"ennial"
"est"
"illion"
"aire"
"ry"
"sexual"
"ric"
"ish"
"ade"
"n"
"let"
"dom"
"ary"
"man"
"less"
"ier"
"et"
"ock"
"cracy"
"o"
"otic"
"ise"
"ren"
"logical"
"wise"
"ence"
"ian"
"ator"
"ial"
"ure"
"ible"
"an"
"ling"
"ad"
"ency"
"graphy"
"i"
"ern"
"centric"
"teen"
"eer"
"valent"
"ane"
"ol"
"ual"
"ent"
"most"
"more"
"ster"
"ome"
"ware"
"red"
"self"
"spect"
"tope"
"ey"
"yer"
"aemia"
"ia"
"fold"
"kind"
"phone"
"scope"
"scopy"
"a"
"ar"
"archy"
"graph"
"tude"
"kin"
"wide"
"on"
"cast"
"gen"
"worthy"
"gon"
"ie"
"doxy"
"arch"
"iatric"
"sophy"
"esque"
"mer"
"nomial"
"ably"
"type"
"iatry"
"and"
"el"
"ton"
"acy"
"ability"
"meter"
"pathy"
"etic"
"phony"
"gram"
"one"
"atic"
"in"
"eth"
"craft"
"b"
"c"
"d"
"e"
"f"
"g"
"h"
"j"
"k"
"l"
"m"
"p"
"q"
"r"
"u"
"v"
"w"
"x"
"z"
"aa"
"ba"
"ca"
"da"
"ea"
"fa"
"ga"
"ha"
"ja"
"ka"
"la"
"ma"
"na"
"oa"
"pa"
"qa"
"ra"
"sa"
"ta"
"ua"
"va"
"wa"
"xa"
"ya"
"za"
"ab"
"bb"
"cb"
"db"
"eb"
"fb"
"gb"
"hb"
"ib"
"jb"
"kb"
"lb"
"mb"
"nb"
"ob"
"pb"
"qb"
"rb"
"sb"
"tb"
"ub"
"vb"
"wb"
"xb"
"yb"
"zb"
"ac"
"bc"
"cc"
"dc"
"ec"
"fc"
"gc"
"hc"
"jc"
"kc"
"lc"
"mc"
"nc"
"oc"
"pc"
"qc"
"rc"
"sc"
"tc"
"uc"
"vc"
"wc"
"xc"
"yc"
"zc"
"bd"
"cd"
"dd"
"fd"
"gd"
"hd"
"id"
"jd"
"kd"
"ld"
"md"
"nd"
"od"
"pd"
"qd"
"rd"
"sd"
"td"
"ud"
"vd"
"wd"
"xd"
"yd"
"zd"
"ae"
"be"
"ce"
"de"
"fe"
"ge"
"he"
"je"
"ke"
"me"
"ne"
"oe"
"pe"
"qe"
"re"
"se"
"te"
"ue"
"ve"
"we"
"xe"
"ye"
"ze"
"af"
"bf"
"cf"
"df"
"ef"
"ff"
"gf"
"hf"
"if"
"jf"
"kf"
"lf"
"mf"
"nf"
"of"
"pf"
"qf"
"rf"
"sf"
"tf"
"uf"
"vf"
"wf"
"xf"
"yf"
"zf"
"ag"
"bg"
"cg"
"dg"
"eg"
"fg"
"gg"
"hg"
"ig"
"jg"
"kg"
"lg"
"mg"
"ng"
"og"
"pg"
"qg"
"rg"
"sg"
"tg"
"ug"
"vg"
"wg"
"xg"
"yg"
"zg"
"ah"
"bh"
"ch"
"dh"
"eh"
"fh"
"gh"
"hh"
"ih"
"jh"
"kh"
"lh"
"mh"
"nh"
"oh"
"ph"
"qh"
"rh"
"sh"
"uh"
"vh"
"wh"
"xh"
"yh"
"zh"
"ai"
"bi"
"ci"
"di"
"ei"
"fi"
"gi"
"hi"
"ii"
"ji"
"ki"
"li"
"mi"
"ni"
"oi"
"pi"
"qi"
"ri"
"si"
"ti"
"ui"
"vi"
"wi"
"xi"
"yi"
"zi"
"aj"
"bj"
"cj"
"dj"
"ej"
"fj"
"gj"
"hj"
"ij"
"jj"
"kj"
"lj"
"mj"
"nj"
"oj"
"pj"
"qj"
"rj"
"sj"
"tj"
"uj"
"vj"
"wj"
"xj"
"yj"
"zj"
"ak"
"bk"
"ck"
"dk"
"ek"
"fk"
"gk"
"hk"
"ik"
"jk"
"kk"
"lk"
"mk"
"nk"
"ok"
"pk"
"qk"
"rk"
"sk"
"tk"
"uk"
"vk"
"wk"
"xk"
"yk"
"zk"
"bl"
"cl"
"dl"
"fl"
"gl"
"hl"
"il"
"jl"
"kl"
"ll"
"ml"
"nl"
"pl"
"ql"
"rl"
"sl"
"tl"
"ul"
"vl"
"wl"
"xl"
"yl"
"zl"
"am"
"bm"
"cm"
"dm"
"em"
"fm"
"gm"
"hm"
"im"
"jm"
"km"
"lm"
"mm"
"nm"
"om"
"pm"
"qm"
"rm"
"sm"
"tm"
"um"
"vm"
"wm"
"xm"
"ym"
"zm"
"bn"
"cn"
"dn"
"fn"
"gn"
"hn"
"jn"
"kn"
"ln"
"mn"
"nn"
"pn"
"qn"
"rn"
"sn"
"tn"
"un"
"vn"
"wn"
"xn"
"yn"
"zn"
"ao"
"bo"
"co"
"do"
"eo"
"fo"
"go"
"ho"
"io"
"jo"
"ko"
"lo"
"mo"
"no"
"oo"
"po"
"qo"
"ro"
"so"
"to"
"uo"
"vo"
"wo"
"xo"
"yo"
"zo"
"ap"
"bp"
"cp"
"dp"
"ep"
"fp"
"gp"
"hp"
"ip"
"jp"
"kp"
"lp"
"mp"
"np"
"op"
"pp"
"qp"
"rp"
"sp"
"tp"
"up"
"vp"
"wp"
"xp"
"yp"
"zp"
"aq"
"bq"
"cq"
"dq"
"eq"
"fq"
"gq"
"hq"
"iq"
"jq"
"kq"
"lq"
"mq"
"nq"
"oq"
"pq"
"qq"
"rq"
"sq"
"tq"
"uq"
"vq"
"wq"
"xq"
"yq"
"zq"
"br"
"cr"
"dr"
"fr"
"gr"
"hr"
"ir"
"jr"
"kr"
"lr"
"mr"
"nr"
"pr"
"qr"
"rr"
"sr"
"tr"
"ur"
"vr"
"wr"
"xr"
"yr"
"zr"
"cs"
"ss"
"at"
"bt"
"ct"
"dt"
"ft"
"gt"
"ht"
"it"
"jt"
"kt"
"lt"
"mt"
"nt"
"ot"
"pt"
"qt"
"rt"
"st"
"tt"
"ut"
"vt"
"wt"
"xt"
"yt"
"zt"
"au"
"bu"
"cu"
"du"
"eu"
"fu"
"gu"
"hu"
"iu"
"ju"
"ku"
"lu"
"mu"
"nu"
"ou"
"pu"
"qu"
"ru"
"su"
"tu"
"uu"
"vu"
"wu"
"xu"
"yu"
"zu"
"av"
"bv"
"cv"
"dv"
"ev"
"fv"
"gv"
"hv"
"iv"
"jv"
"kv"
"lv"
"mv"
"nv"
"ov"
"pv"
"qv"
"rv"
"sv"
"tv"
"uv"
"vv"
"wv"
"xv"
"yv"
"zv"
"aw"
"bw"
"cw"
"dw"
"ew"
"fw"
"gw"
"hw"
"iw"
"jw"
"kw"
"lw"
"mw"
"nw"
"ow"
"pw"
"qw"
"rw"
"sw"
"tw"
"uw"
"vw"
"ww"
"xw"
"yw"
"zw"
"ax"
"bx"
"cx"
"dx"
"ex"
"fx"
"gx"
"hx"
"ix"
"jx"
"kx"
"lx"
"mx"
"nx"
"ox"
"px"
"qx"
"rx"
"sx"
"tx"
"ux"
"vx"
"wx"
"xx"
"yx"
"zx"
"ay"
"by"
"dy"
"fy"
"gy"
"hy"
"iy"
"jy"
"ky"
"my"
"ny"
"oy"
"py"
"qy"
"sy"
"uy"
"vy"
"wy"
"xy"
"yy"
"zy"
"az"
"bz"
"cz"
"dz"
"ez"
"fz"
"gz"
"hz"
"iz"
"jz"
"kz"
"lz"
"mz"
"nz"
"oz"
"pz"
"qz"
"rz"
"sz"
"tz"
"uz"
"vz"
"wz"
"xz"
"yz"
"zz"
"like"
"ite"
"ase"
"ide"
"osis"
"ification"
"genic"
"metric"
"itis"
"cyte"
"cide"
"ette"
"oma"
"isation"
"genesis"
"pod"
"head"
"amine"
"ectomy"
"phile"
"ferous"
"scape"
"lysis"
"proof"
"lith"
"tron"
"ene"
"morphic"
"uple"
"phyte"
"plex"
"morph"
"phobia"
"trophy"
"ose"
"phore"
"woman"
"pathic"
"morphism"
"wear"
"chrome"
"tropic"
"blast"
"ped"
"grapher"
"plasty"
"derm"
"gamy"
"philia"
"eous"
"phobic"
"phage"
"gamous"
"philic"
"polis"
"hedral"
"fest"
"iform"
"drome"
"mobile"
"mania"
"core"
"biont"
"tic"
"troph"
"uria"
"ancy"
"arium"
"ode"
"geny"
"punk"
"crasy"
"topia"
"ergic"
"aceous"
"icide"
"ule"
"lytic"
"oic"
"phobe"
"lite"
"free"
"plasia"
"pause"
"gyny"
"plast"
"athlon"
"ole"
"rel"
"lyte"
"vorous"
"trope"
"coccus"
"formin"
"meal"
"stomy"
"hedron"
"mony"
"cline"
"phagy"
"uous"
"biosis"
"elle"
"mere"
"algia"
"crat"
"form"
"ter"
"mancy"
"cele"
"phagous"
"aholic"
"odont"
"carp"
"anth"
"ile"
"onymy"
"tome"
"penia"
"sion"
"kinesis"
"vore"
"phyll"
"ese"
"fuge"
"athon"
"tropy"
"pnea"
"burger"
"land"
"bot"
"stat"
"ino"
"latry"
"saur"
"path"
"plegic"
"lock"
"iasis"
"ulent"
"sal"
"static"
"philous"
"speak"
"tropism"
"lect"
"derma"
"stome"
"style"
"fication"
"cratic"
"megaly"
"phoresis"
"clast"
"cosm"
"phasia"
"poiesis"
"cidal"
"dar"
"rrhea"
"treme"
"cha"
"ician"
"not"
"licious"
"rubicin"
"clase"
"gony"
"therm"
"log"
"eme"
"holic"
"maniac"
"rrhaphy"
"sis"
"chore"
"coel"
"glot"
"pexy"
"phagia"
"ean"
"sol"
"adelic"
"tard"
"lalia"
"rama"
"tastic"
"cephalous"
"philiac"
"wad"
"preneur"
"cardia"
"nik"
"cephaly"
"physis"
"centrism"
"sicle"
"azepam"
"ocracy"
"ality"
"plegia"
"setter"
"andry"
"escent"
"lepsy"
"odynia"
"thermy"
"androus"
"gasm"
"thymia"
"dyne"
"mycin"
"nap"
"rrhagia"
"splain"
"aster"
"opia"
"otomy"
"rix"
"biotic"
"fag"
"yne"
"theca"
"desis"
"phily"
"oecious"
"ress"
"ass"
"front"
"meister"
"nym"
"tactic"
"amivir"
"gene"
"mate"
"morphy"
"onium"
"quine"
"trix"
"gnathous"
"long"
"stasis"
"centesis"
"icity"
"pterous"
"sploitation"
"caine"
"esce"
"glossia"
"ies"
"manship"
"nomics"
"platin"
"son"
"spermy"
"cytic"
"leptic"
"logic"
"opsia"
"phagic"
"phyllous"
"een"
"verse"
"wave"
